date,pm25_cf_1,humidity,temperature,pressure
2020-06-28,7.342142992167842,51.421033322641065,74.75149177446902,992.2741661191752
2020-06-29,4.016993085165339,47.998899020576914,75.0237535546479,992.5514506380897
2020-06-30,7.485259928147251,46.58177805576035,75.34745184548206,994.5196677914387
2020-07-01,12.86360417636678,48.215041097025505,75.56823191237847,993.324223452725
2020-07-02,10.531760060144137,45.86257231566139,77.00861340345092,994.4677178937098
2020-07-03,8.975998634737312,44.27348724179588,78.2335250758718,996.4557971103345
2020-07-04,12.71412543323805,41.06719631855226,80.27054485701005,996.3449282202113
2020-07-05,73.69136521325369,39.057671454103726,81.93748585429041,994.840554588106
2020-07-06,15.023817842560954,39.0783084459338,82.50304925717411,993.0795017116238
2020-07-07,12.624926967360745,41.408859765550055,81.35666640906766,993.3635045890749
2020-07-08,13.429505470486106,43.334890824312794,79.7110353422602,993.336407048724
2020-07-09,15.596927789161583,44.37479183617719,80.0012867698955,993.8052805659755
2020-07-10,18.825520306794488,43.928858499746504,81.34111587520962,996.0102292840169
2020-07-11,12.203585107061542,38.78776957046445,83.83504111046598,995.9298520493005
2020-07-12,9.793586425137093,37.963881112971116,84.83799303530797,993.4994948622121
2020-07-13,11.25787435525298,42.86656821665855,82.74100872496003,993.5305753064223
2020-07-14,12.583451880973758,46.02137800294174,79.85356546307528,995.745190623767
2020-07-15,12.09599239898262,45.94745438572,78.31242417199975,995.8126702647612
2020-07-16,10.037971639587557,46.25200566398188,77.46150370681094,994.9452221664488
2020-07-17,8.599062641853482,46.41157391682544,78.13796239090502,996.649252546854
2020-07-18,6.523346253629904,46.355807744470034,78.39611536031771,996.8779732664875
2020-07-19,8.47211462793529,46.52401025256296,77.78479967430918,996.2846771837188
2020-07-20,8.848408362067417,46.217451689431854,78.03698197567392,995.5483102502881
2020-07-21,9.625362560083824,46.242167692215325,78.06410808836169,993.4541813801483
2020-07-22,13.281343553421783,49.44629123460629,75.59051955935304,993.8449096568169
2020-07-23,14.742623650347749,47.14738059266379,75.83476796032363,994.7408837113795
2020-07-24,13.165069626284739,46.89811700014524,76.56855558487385,994.9979092209869
2020-07-25,14.910213454060987,47.003539406831614,77.45978031821421,995.7581380857148
2020-07-26,12.488800178669107,47.00235914566272,77.37365274353132,995.8338629017719
2020-07-27,10.465612428390852,46.071824942167375,77.05752790563812,995.4935126608813
2020-07-28,13.473605678035645,46.52965431950233,76.89457878887906,994.7421810106458
2020-07-29,15.020182122582632,46.61342115193488,77.36499392478521,994.9300005831162
2020-07-30,13.856044011898021,45.72755051680216,78.35739404940301,995.9018252832686
2020-07-31,11.383629372511392,38.63370679262311,82.5460037929904,994.4803698669657
2020-08-01,11.201660138318335,38.50223854824584,82.3816765839578,994.8163101314209
2020-08-02,14.437976222025016,44.56239129200267,81.41738892268388,996.260979680815
2020-08-03,21.149049605683242,46.49068449234906,80.92483413260271,996.2314893218072
2020-08-04,19.840944396908544,48.49210884919203,79.09645592679765,995.8421899219655
2020-08-05,14.038736013327611,48.77685680679217,77.61349098718718,994.8514351410836
2020-08-06,11.690299483210328,47.491850863237495,77.01480312148163,994.056313400164
2020-08-07,10.259869876810155,46.13191148113158,77.4044848943703,993.952130134525
2020-08-08,9.869598186744426,44.64124238654265,78.05346079983346,995.6155648096227
2020-08-09,9.047237355505624,45.54727880381203,77.78271837324728,995.2942677835388
2020-08-10,10.337783217350859,45.79000453177719,77.50342911244643,994.9013044069575
2020-08-11,9.58080030281106,44.99133983749509,76.9147894759476,994.8492680296989
2020-08-12,8.746511443252011,40.98062599742148,79.07663300748264,994.5979732142813
2020-08-13,7.555234913790326,36.755965630805306,82.81998597268351,994.5836511844267
2020-08-14,14.957886255714147,36.70418703953833,86.12329190785499,994.0150895978668
2020-08-15,12.766616139332747,38.054679637928395,87.97282171030152,992.7894254647025
2020-08-16,13.087628738237115,41.264682721614214,86.93969019006724,994.3360522298221
2020-08-17,16.935593733160594,45.33661160561459,85.40719314459277,995.5114561808392
2020-08-18,19.416161294296007,42.553121105766515,87.25761978990977,995.0657803119676
2020-08-19,17.65208042924694,41.37063441950508,87.70300666351184,993.1117790082651
2020-08-20,19.666843621747066,42.59664778904448,86.7172221536894,990.9468909103939
2020-08-21,30.49079346815972,45.11508861258126,85.72759349144573,991.2236558431449
2020-08-22,38.71279030377006,41.98737715338626,87.43104097027238,993.0415888113084
2020-08-23,29.27081987496878,46.56579448125992,86.14081156766763,994.0244742389973
2020-08-24,21.22209083592703,50.06299008105074,83.29905312275122,993.025852490453
2020-08-25,16.821445139202044,48.57812659292366,82.75131908067992,991.8840938287593
2020-08-26,10.55192448128866,46.97892940906352,82.67241732009626,990.0229883533484
2020-08-27,20.637061758697005,43.35968032160405,83.500405477497,988.5819398635088
2020-08-28,14.244867929796797,43.69078762415075,80.68306451311531,990.4867230064799
2020-08-29,11.708240830012006,45.61006669168763,78.03122389139428,992.8688967230842
2020-08-30,13.294527931423003,46.533446045762055,77.46304781698717,992.5296977092631
2020-08-31,14.352449562073572,47.0321045829029,77.29401104825511,992.5021869952114
2020-09-01,14.268157289264334,47.24874573698596,77.35629643132873,995.0631271825854
2020-09-02,12.236690334200954,48.248089752608955,77.63196077142544,996.6824727556816
2020-09-03,17.100975054940896,47.46837796919208,79.37979789252468,995.2494599386791
2020-09-04,23.78842294198892,44.88578449763843,82.07603219705508,993.8949525149482
2020-09-05,23.33110245530362,36.93039092788497,88.2751261036409,993.8078060860354
2020-09-06,20.09274830339128,27.434406686149313,93.97495142888795,992.507185090758
2020-09-07,25.162094463760578,41.0050946930366,86.75867124372715,990.2851748456936
2020-09-08,20.406551109855954,50.004935428119815,81.19500565013715,987.8500892868733
2020-09-09,16.770828770402126,45.45820227461261,80.11176536327532,991.2484476142118
2020-09-10,40.75631502755027,42.68504801575928,77.32210974555574,996.5182591789103
2020-09-11,79.41082694908604,38.02415475486038,7705.352493533604,995.0992944213064
2020-09-12,98.64194597216566,37.616973120302966,76.10506425083322,990.7856741102901
2020-09-13,79.70564322351645,42.24559223593725,76.08179479008557,990.9202974566684
2020-09-14,86.8563713304189,40.84393455139663,77.71571447219108,992.5414774483224
2020-09-15,81.88531913624567,39.37156088596559,78.55156379652513,994.7541369960892
2020-09-16,60.60065520466986,33.30853738028256,80.00826811850644,993.471611369105
2020-09-17,36.067419299113624,30.89992431827318,79.65231882271594,991.0992899621718
2020-09-18,29.85335292306711,31.40130372279611,81.54081902019904,989.1497553385188
2020-09-19,20.72915858508647,38.62700417887589,80.57528003180039,988.4309161174851
2020-09-20,18.089943264773424,44.220919653754564,76.60803945675563,988.8352370058939
2020-09-21,25.43424241638265,46.86909552699678,76.86923111267213,988.8917374767115
2020-09-22,24.8008967425514,46.597833154716085,77.04045958806148,991.1713251708961
2020-09-23,23.7111000011835,44.936738357215084,77.2649856880962,991.6365304744876
2020-09-24,21.858214210055,42.544324348155904,78.29355872545311,989.1513691199998
2020-09-25,23.373588559901858,46.02783008721402,78.23846023195321,990.2870060088583
2020-09-26,23.44552500647645,48.86719031778458,76.77862670303885,990.0523981365789
2020-09-27,24.119935564200677,49.33037320218581,77.58630336538332,988.5297511628143
2020-09-28,23.777837819906598,47.575787700324476,79.01300349223591,988.8731729363958
2020-09-29,19.54752059378248,44.19042525539221,80.38104763156198,990.318317429747
2020-09-30,12.473023742475432,32.791956524247134,83.93792561513393,988.0833893904139
2020-10-01,25.618535953254515,29.79367819146531,85.16127652003249,986.7706090552307
2020-10-02,29.889695647029196,32.79620084515316,83.96687959449432,985.2786283284036
2020-10-03,39.79450827206397,35.39690993965773,82.18064233602252,985.7592154252557
2020-10-04,59.87645844499017,37.228251926806195,80.92570381523464,988.0460768126554
2020-10-05,65.27585742965286,37.294924906642265,79.60083941254959,988.3639801109786
2020-10-06,50.24577589393046,39.842377345053364,77.83843668820708,987.5453586230481
2020-10-07,41.6278816020797,44.05857111138966,76.28237583550731,986.5526494528522
2020-10-08,34.8326199455151,45.74023773677111,75.46732464508973,987.752257998088
2020-10-09,28.91667002665818,48.34665897217183,74.29886081593273,987.7257253324051
2020-10-10,21.57683860632829,48.157107216656925,74.79650942474468,989.0961854671386
2020-10-11,14.876502754634563,49.611943350986,74.43138147989649,989.53257995329
2020-10-12,13.58178064300525,42.67338022052416,78.20145847357053,989.2438599930261
2020-10-13,14.106521421127985,33.48065572500556,80.81116669293141,989.2412288722597
2020-10-14,17.73481060912472,33.200502111506616,80.59964219370323,989.6552500417567
2020-10-15,20.884312872601416,34.46933961648344,80.44063298530583,989.3059485308041
2020-10-16,20.60080950947365,36.99099957435331,80.16905813535047,987.5011668482584
2020-10-17,18.487505389992716,40.21357451793899,79.1760521056541,988.4876934559184
2020-10-18,30.920434624815908,47.47209266208402,77.0950096259023,990.5637151034077
2020-10-19,26.22205214243664,49.001270599674775,75.6231060550411,989.6450055627934
2020-10-20,33.32498535956497,49.64768365060024,74.9164169561732,987.43452550636
2020-10-21,40.21748316145297,50.272863407270975,74.18447552838826,985.0520837042728
2020-10-22,21.77598016820102,48.83413890144557,73.89962819701044,986.3990104968286
2020-10-23,15.823840843093695,49.4381131035104,72.64975293754887,988.9465043038953
2020-10-24,9.843829448568108,49.97238570974284,72.02208064128017,990.125079199908
2020-10-25,4.729514279177848,47.320421482011994,70.84806829754001,987.7561051320529
2020-10-26,8.679978753320384,29.698336939711172,69.16388739877613,989.3421357249711
2020-10-27,42.14496231571513,18.680970619930545,69.89843328267004,991.2929324243391
2020-10-28,27.809950495044873,31.469385901107675,70.5728232145342,991.2401824100486
2020-10-29,24.332054603658033,33.15885614591576,72.16343929571624,990.3727336813752
2020-10-30,22.38544738365308,32.70752081615076,72.77903503246515,989.3400986061718
2020-10-31,22.510811109487918,35.694451672343114,73.26216573678781,990.6010567281365
2020-11-01,25.064080066381894,35.65527652376049,74.73983978829912,993.0859085383922
2020-11-02,25.111332458724068,41.64418663044461,73.29776547695236,992.4607395870194
2020-11-03,39.80082331892189,47.72204517388938,72.4898752323859,990.9400869455811
2020-11-04,31.56486883375565,42.23282886221581,74.00757320916848,991.8626010992709
2020-11-05,11.685712074187714,29.721864612980045,77.40133657797297,988.9056135736326
2020-11-06,14.06690240201975,41.492346674381125,74.09349779985835,979.8205504687406
2020-11-07,3.464046452257823,44.46597166570993,64.44520066341387,980.9168157324351
2020-11-08,5.437903041037922,41.868530494735964,62.483473653900724,983.7223545438474
2020-11-09,5.001789153523071,34.69361785044689,62.18968994768647,990.2224627250464
2020-11-10,7.539947964883919,32.451574327145295,63.08979401392136,993.5118333775221
2020-11-11,11.912482907218234,34.24397056323187,64.30041414522938,990.4044251568777
2020-11-12,18.518387962658807,36.854791088933084,65.26884693228932,990.3451632025383
2020-11-13,18.795360912280454,40.51965881788074,65.19956328024867,992.5751737311224
2020-11-14,21.618618536660424,43.817806765119194,66.64287402533716,993.3619853646939
2020-11-15,13.232498665852917,29.739628472410185,71.889930167469,993.6817471497617
2020-11-16,5.9514431254492015,21.856232266016494,76.23899027536555,990.791364089374
2020-11-17,10.526499611485725,30.51757905021111,5010.866749272155,991.3056601827402
2020-11-18,14.496569544255868,45.35767936007624,68.19675368300408,993.2841719228447
2020-11-19,15.517245547083604,48.44190749956023,68.70524273037155,994.5968175687744
