date,pm25_cf_1,humidity,temperature
2017-01-01,25.71443303058972,54.92944889644924,59.43311457140957
2017-01-02,7.568053835032974,53.61831942287633,61.7235963670565
2017-01-03,18.169412182781493,52.46052375418619,62.95632766818546
2017-01-04,21.87517247372564,51.5064224953826,63.94405725726816
2017-01-05,16.6506204677997,65.33555914715197,65.90194107861538
2017-01-06,6.5276088204941525,52.095463887170695,65.67350013526847
2017-01-07,9.225567877098026,43.37621326299555,66.51144857974415
2017-01-08,16.496864023114238,42.527193029753285,69.9902840595736
2017-01-09,15.247004006900005,60.50839283132105,66.92377336821953
2017-01-10,14.732931878926069,65.64871758566368,64.04367639740973
2017-01-11,3.650930123445106,60.652970758852774,66.95226917411875
2017-01-12,4.774159599841174,64.93467349804848,63.25175795283421
2017-01-13,6.16767577175212,56.50532453101932,62.585474487127776
2017-01-14,10.155034811546058,44.43973600355367,66.13039940774213
2017-01-15,14.538415975242955,52.763294969251255,65.48597125732307
2017-01-16,15.269044704304546,49.061322398597675,65.73900279886722
2017-01-17,14.62999344440548,42.397976207892206,63.705326982769655
2017-01-18,21.14441362492265,52.36284502144107,61.88969233780802
2017-01-19,9.883567971390422,58.17012067536462,64.48615083809669
2017-01-20,2.240364413278507,63.93234391305478,61.48181198961362
2017-01-21,1.552611260966252,51.196043771554265,61.58854333890931
2017-01-22,3.726103973321402,66.9633161642556,59.615080342073135
2017-01-23,1.484780140904972,60.04731719505366,59.04550649844588
2017-01-24,6.118841331646225,52.70938968164791,58.04235019578507
2017-01-25,12.297190707430495,48.778497823863674,59.69210280178659
2017-01-26,13.462944721434884,44.86264662814408,60.46803860751536
2017-01-27,3.682504589145437,28.50087834099624,62.2510973845897
2017-01-28,5.24205774357432,22.056696722998296,66.99782007964477
2017-01-29,4.936705812385956,19.994539911865427,71.58426798796631
2017-01-30,5.833623980321652,25.88759922011731,71.95957279939218
2017-01-31,12.88205760839656,34.57783227912792,70.09925033257024
2017-02-01,26.855295963615372,48.47787180554195,66.85951783018243
2017-02-02,25.633403223738135,50.35499113989889,66.60690317776759
2017-02-03,25.688826734452434,59.70078478717508,67.10650727390492
2017-02-04,18.944087400244996,61.0973189264099,67.45788241375264
2017-02-05,15.667850033821516,59.02067154639909,65.10414387577664
2017-02-06,8.221562025550673,65.35939864361885,65.17071539874391
2017-02-07,6.917000833452051,66.20981937536821,69.12007530669771
