horizon,MAE,RMSE,MAPE
t+1,3.466583251953125,4.507818212125389,49.294285
t+2,4.7759480476379395,5.83153771511449,74.28039
t+3,5.062288284301758,6.122635365458192,78.86667
t+4,5.1812262535095215,6.2672667980289285,80.96105
t+5,5.445933818817139,6.525348826471188,85.187225
t+6,5.648710250854492,6.668265659580329,89.12147
t+7,5.728723526000977,6.701625558454637,90.15041
